brnd_name,gnrc_name,mftr_name,tot_mftr,year,cagr_avg_spnd_per_dsg_unt_19_23,chg_avg_spnd_per_dsg_unt_22_23,tot_spndng,tot_dsg_unts,tot_clms,tot_benes,avg_spnd_per_dsg_unt_wghtd,avg_spnd_per_clm,avg_spnd_per_bene,outlier_flag,tot_spndng_log
abacavir-lamivudine,Abacavir Sulfate/Lamivudine,aurobindo pharm,1,2019,0.013265676,-0.013013313,4039930.74,324606.0,9348,1597.0,12.44564407,432.1705969,2529.6999,0,15.211738353754988
abacavir-lamivudine,Abacavir Sulfate/Lamivudine,aurobindo pharm,1,2020,0.013265676,-0.013013313,2816938.69,248430.0,6793,1383.0,11.33896345,414.6825688,2036.832025,0,14.851161637328653
abacavir-lamivudine,Abacavir Sulfate/Lamivudine,aurobindo pharm,1,2022,0.013265676,-0.013013313,4278385.44,321870.0,7134,1347.0,13.29227775,599.7176114,3176.232695,0,15.269086496475614
abacavir-lamivudine,Abacavir Sulfate/Lamivudine,aurobindo pharm,1,2023,0.013265676,-0.013013313,3610339.85,275193.0,5944,1158.0,13.11930118,607.3923032,3117.737349,0,15.099312744134487
abilify,Aripiprazole,otsuka america,1,2019,-0.085913695,0.009091911,26854630.75,808281.5,20939,3670.0,33.40220819,1282.517348,7317.338079,0,17.105948868697425
abilify,Aripiprazole,otsuka america,1,2020,-0.085913695,0.009091911,24481910.61,716447.5,17689,2532.0,34.43652749,1384.018916,9669.001031,0,17.01344510120343
abilify,Aripiprazole,otsuka america,1,2021,-0.085913695,0.009091911,20484851.18,633899.0,15261,2174.0,32.65616444,1342.300713,9422.654637,0,16.835196252925357
abilify,Aripiprazole,otsuka america,1,2022,-0.085913695,0.009091911,13141218.3,575817.0,13586,1920.0,23.10964437,967.2617621,6844.384531,0,16.391264359714214
abilify,Aripiprazole,otsuka america,1,2023,-0.085913695,0.009091911,11882943.19,516496.25,12115,1736.0,23.3197552,980.8454965,6845.013358,0,16.2906146686357
abilify asimtufii,Aripiprazole,otsuka america,1,2019,0.001871153,0.000832964,1467647.68,362319.875,7167,2473.0,1.973184551,103.6380657,257.5315611,0,14.199172140714193
abilify asimtufii,Aripiprazole,otsuka america,1,2020,0.001871153,0.000832964,1312670.35,306657.0,5864,2065.5,2.054265301,110.6245765,283.2256,0,14.087574817307647
abilify asimtufii,Aripiprazole,otsuka america,1,2021,0.001871153,0.000832964,1140251.52,251918.0,4719,1757.0,2.067207152,111.5126886,285.6825333,0,13.946760304613163
abilify asimtufii,Aripiprazole,otsuka america,1,2022,0.001871153,0.000832964,1030143.94,210455.0,4039,1566.0,2.228294388,116.4894737,289.8274169,0,13.84521006875251
abilify asimtufii,Aripiprazole,otsuka america,1,2023,0.001871153,0.000832964,13218817.72,7414.2,2410,1231.0,1783.026292,5484.986606,10738.27597,0,16.397152032873436
abilify maintena,Aripiprazole,otsuka america,1,2019,0.053032248,0.070077602,422038582.3,189937.35,189140,25421.0,2222.069637,2231.355516,16601.96618,0,19.860607297441707
abilify maintena,Aripiprazole,otsuka america,1,2020,0.053032248,0.070077602,460313112.0,204264.771,203218,25646.0,2253.594888,2265.119783,17948.72932,0,19.94741749632434
abilify maintena,Aripiprazole,otsuka america,1,2021,0.053032248,0.070077602,499429110.9,210840.18,208784,26393.0,2368.508428,2392.085174,18922.78676,0,20.028976227863435
abilify maintena,Aripiprazole,otsuka america,1,2022,0.053032248,0.070077602,563682902.8,220767.4,219843,27676.0,2553.342516,2564.024794,20367.20996,0,20.15000242404833
abilify maintena,Aripiprazole,otsuka america,1,2023,0.053032248,0.070077602,636857890.9,233084.9,232162,29378.0,2732.274636,2743.161633,21678.0547,0,20.27205709900931
abiraterone acetate,Abiraterone Acetate,ahp,1,2019,-0.352354565,0.000832964,1467647.68,362319.875,7167,2473.0,1.973184551,103.6380657,257.5315611,0,14.199172140714193
abiraterone acetate,Abiraterone Acetate,ahp,1,2021,-0.352354565,0.000832964,1140251.52,251918.0,4719,1757.0,2.067207152,111.5126886,285.6825333,0,13.946760304613163
abiraterone acetate,Abiraterone Acetate,ahp,1,2022,-0.352354565,0.000832964,1030143.94,210455.0,4039,1566.0,2.228294388,116.4894737,289.8274169,0,13.84521006875251
abiraterone acetate,Abiraterone Acetate,ahp,1,2023,-0.352354565,0.000832964,16699.98,5144.0,44,39.0,3.24649689,379.545,428.2046154,0,9.723222679317818
abiraterone acetate,Abiraterone Acetate,mylan,1,2019,0.193300791,-0.088637337,89624661.26,1938999.0,16412,4018.0,46.22212867,5460.922573,22305.78926,0,18.31114108850876
abiraterone acetate,Abiraterone Acetate,mylan,1,2020,0.193300791,-0.088637337,46509342.26,1227017.0,10676,2876.0,38.1716888,4356.438953,16171.53764,0,17.655163780696373
abiraterone acetate,Abiraterone Acetate,mylan,1,2021,0.193300791,-0.088637337,105057491.9,1174828.0,15673,4349.0,103.3830901,6703.087596,24156.70083,0,18.470018309698784
abiraterone acetate,Abiraterone Acetate,mylan,1,2022,0.193300791,-0.088637337,64626491.04,663377.0,10295,2908.0,102.8391372,6277.463918,22223.69018,0,17.984134978185924
abiraterone acetate,Abiraterone Acetate,mylan,1,2023,0.193300791,-0.088637337,48263295.9,552021.0,8341,2560.0,93.7237499,5786.272138,18852.84996,0,17.69218193120282
